id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Sunrise,Blockwork,hip hop,confident,0.72,95,0.62,0.84,0.12
12,Moonlit Sonata Redux,Aria Vale,classical,melancholy,0.30,68,0.35,0.25,0.95
13,Island Time,Kofi & the Tides,reggae,laid-back,0.55,76,0.78,0.80,0.40
14,Voltage Drop,Pulse Theory,edm,euphoric,0.95,128,0.72,0.90,0.03
15,Dust and Pinewood,Hazel Grove,folk,nostalgic,0.38,92,0.55,0.48,0.88
16,Iron Verdict,Ashen Crown,metal,aggressive,0.98,160,0.30,0.52,0.02
17,Velvet Hours,Nia Monroe,r&b,romantic,0.48,84,0.68,0.71,0.33
18,Backroad Dust,Clay County Line,country,hopeful,0.60,104,0.74,0.63,0.55
19,Blinding Lights,The Weeknd,pop,energetic,0.73,171,0.33,0.51,0.00
20,Don't Start Now,Dua Lipa,pop,confident,0.79,124,0.68,0.79,0.01
21,Levitating,Dua Lipa,pop,happy,0.82,103,0.92,0.70,0.01
22,Shake It Off,Taylor Swift,pop,happy,0.80,160,0.94,0.65,0.06
23,Bad Guy,Billie Eilish,pop,dark,0.43,135,0.56,0.70,0.33
24,Watermelon Sugar,Harry Styles,pop,happy,0.82,95,0.56,0.55,0.12
25,As It Was,Harry Styles,pop,bittersweet,0.73,174,0.66,0.52,0.34
26,Uptown Funk,Mark Ronson,funk,party,0.61,115,0.93,0.86,0.01
27,Happy,Pharrell Williams,pop,happy,0.82,160,0.96,0.65,0.22
28,Roar,Katy Perry,pop,triumphant,0.77,180,0.46,0.55,0.00
29,Shape of You,Ed Sheeran,pop,flirty,0.65,96,0.93,0.83,0.58
30,Someone Like You,Adele,pop,melancholy,0.29,135,0.29,0.53,0.91
31,Rolling in the Deep,Adele,soul,intense,0.77,105,0.51,0.73,0.14
32,Firework,Katy Perry,pop,uplifting,0.83,124,0.65,0.64,0.13
33,Rather Be,Clean Bandit,dance pop,happy,0.76,121,0.76,0.79,0.06
34,Can't Stop the Feeling,Justin Timberlake,pop,happy,0.83,113,0.90,0.67,0.10
35,Cheap Thrills,Sia,pop,party,0.79,90,0.73,0.59,0.06
36,Chandelier,Sia,pop,emotional,0.62,118,0.42,0.35,0.34
37,Flowers,Miley Cyrus,pop,confident,0.68,118,0.65,0.71,0.06
38,Anti-Hero,Taylor Swift,pop,reflective,0.64,97,0.53,0.64,0.13
39,Vampire,Olivia Rodrigo,pop,dramatic,0.55,138,0.35,0.51,0.20
40,good 4 u,Olivia Rodrigo,pop punk,angry,0.66,166,0.69,0.56,0.34
41,Espresso,Sabrina Carpenter,pop,flirty,0.70,104,0.69,0.75,0.12
42,HUMBLE,Kendrick Lamar,hip hop,confident,0.62,150,0.42,0.90,0.00
43,SICKO MODE,Travis Scott,hip hop,dark,0.73,155,0.45,0.83,0.00
44,God's Plan,Drake,hip hop,confident,0.45,77,0.36,0.75,0.03
45,Alright,Kendrick Lamar,hip hop,hopeful,0.55,110,0.48,0.68,0.06
46,Lose Yourself,Eminem,hip hop,intense,0.75,171,0.06,0.69,0.02
47,Stronger,Kanye West,hip hop,confident,0.72,104,0.49,0.62,0.02
48,Old Town Road,Lil Nas X,country rap,playful,0.62,136,0.64,0.88,0.05
49,Sunflower,Post Malone,hip hop,mellow,0.48,90,0.91,0.76,0.56
50,Rockstar,Post Malone,hip hop,dark,0.52,160,0.13,0.59,0.12
51,Money Trees,Kendrick Lamar,hip hop,reflective,0.53,143,0.51,0.70,0.10
52,Nonstop,Drake,hip hop,confident,0.62,155,0.42,0.91,0.01
53,Mask Off,Future,hip hop,dark,0.64,150,0.28,0.83,0.01
54,DNA,Kendrick Lamar,hip hop,aggressive,0.52,140,0.40,0.64,0.00
55,Industry Baby,Lil Nas X,hip hop,triumphant,0.70,150,0.60,0.74,0.02
56,Adorn,Miguel,r&b,romantic,0.55,110,0.66,0.72,0.10
57,Best Part,Daniel Caesar,r&b,romantic,0.28,84,0.50,0.66,0.62
58,Redbone,Childish Gambino,r&b,moody,0.42,80,0.56,0.74,0.24
59,Cranes in the Sky,Solange,r&b,melancholy,0.35,100,0.30,0.45,0.55
60,Location,Khalid,r&b,chill,0.42,90,0.44,0.66,0.30
61,Thinkin Bout You,Frank Ocean,r&b,romantic,0.36,132,0.40,0.55,0.45
62,Superstition,Stevie Wonder,funk,groovy,0.75,100,0.80,0.78,0.04
63,I Wanna Dance with Somebody,Whitney Houston,pop,happy,0.85,119,0.90,0.66,0.10
64,Signed Sealed Delivered,Stevie Wonder,soul,happy,0.72,110,0.90,0.70,0.10
65,Ain't No Mountain High Enough,Marvin Gaye,soul,uplifting,0.70,130,0.85,0.62,0.20
66,Bohemian Rhapsody,Queen,rock,dramatic,0.40,72,0.23,0.39,0.29
67,Don't Stop Me Now,Queen,rock,happy,0.86,156,0.60,0.56,0.05
68,Smells Like Teen Spirit,Nirvana,rock,angry,0.91,117,0.72,0.50,0.00
69,Sweet Child O' Mine,Guns N' Roses,rock,triumphant,0.90,125,0.60,0.47,0.02
70,Back in Black,AC/DC,rock,intense,0.70,92,0.76,0.55,0.01
71,Hotel California,Eagles,rock,moody,0.51,147,0.61,0.58,0.20
72,Stairway to Heaven,Led Zeppelin,rock,epic,0.34,82,0.20,0.34,0.55
73,Wonderwall,Oasis,rock,nostalgic,0.65,174,0.65,0.41,0.20
74,Mr. Brightside,The Killers,rock,energetic,0.92,148,0.24,0.36,0.00
75,Seven Nation Army,The White Stripes,rock,intense,0.46,124,0.32,0.51,0.01
